NAME,TYPE,ADDRESS,LATITUDE,LONGITUDE,URL,school_zones
The Durham Filling Station,Restaurant,617 Hicks St,36.01371153,-78.93073084,https://www.facebook.com/DurhamFillingStation/,"E.K. Powe Elementary, Brogden Middle, Riverside High"
Taco Bell,Fast Food,6910 Fayetteville Rd,35.90547997,-78.94025418,http://www.tacobell.com/,"Lyons Farm Elementary, Githens Middle, Jordan High"
Zaxby's Chicken Fingers & Buffalo Wings,Fast Food,920 Martin luther King Jr Pkwy,35.94785176,-78.91831593,https://www.zaxbys.com/locations/nc/durham/920-martin-luther-king-pkwy/?utm_source=local&utm_medium=organic&utm_campaign=gmb,"Southwest Elementary, Githens Middle, Jordan High"
Bojangles,Fast Food,4600 Garrett Rd,35.96224666,-78.97654275,https://locations.bojangles.com/nc/durham/4600-garrett-rd.html,"Forest View Elementary, Githens Middle, Jordan High"
Tropical Delights,Fast Food,4051 Durham-CHapel Hill Blvd,35.96915902,-78.95423205,http://www.tropicaldelightsmoothies.com/,"Forest View Elementary, Githens Middle, Jordan High"
QueenBurger,Fast Food,359 Blackwell St Suite 125,35.99321835,-78.90140682,http://eatqueenburger.com/,"C.C. Spaulding Elementary, Brogden Middle, Jordan High"
Wayback Burgers,Fast Food,4104 Surles Ct #2,35.86801969,-78.84518767,https://waybackburgers.com/locations/north-carolina/durham-surles-court/?y_source=1_MTM4NTMxNjItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"Bethesda Elementary, Lowes Grove Middle, Hillside High"
Arby's,Fast Food,5503 S Miami Blvd,35.87875715,-78.84854391,https://locations.arbys.com/nc/durham/5503-s-miami-blvd.html?utm_source=google%20my%20business&utm_medium=organic&utm_campaign=website%20link,"Bethesda Elementary, Lowes Grove Middle, Hillside High"
Subway,Fast Food,705-B 9th St,36.00852245,-78.92152861,https://restaurants.subway.com/united-states/nc/durham/705-b-ninth-street?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=24842&utm_campaign=evergreen-2020&y_source=1_MTQ5MTA4NjMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"E.K. Powe Elementary, Brogden Middle, Riverside High"
Burger King,Fast Food,3414 N Roxboro St,36.03658902,-78.88975517,https://burgerking.com/store-locator/store/restaurant_3937,"Holt Elementary, Carrington Middle, Riverside High"
