CENTER_NAME,name,LATITUDE,LONGITUDE,URL,,,,,
Beacon Learning Academy RTP,Beacon Learning Academy RTP,35.8877725,-78.897561,http://www.beaconrtp.com,,,,,
Bethesda Child Care Center I,Bethesda Child Care Center I,35.9432887,-78.8390257,https://www.bethesdapreschool.org,,,,,
Brown's Early Learning Academy,Brown's Early Learning Academy,35.9667047,-78.9066486,https://childcarecenter.us/provider_detail/browns_early_learning_school_durham_nc,,,,,
Bryant's Day Care Home,Bryant's Day Care Home,35.9947304,-78.8741861,https://childcarecenter.us/provider_detail/bryants_day_care_home_durham_nc,,,,,
Bryson Christian Montessori School ,Bryson Christian Montessori School ,35.92512437,-78.96073946,http://brysonchristianmontessorischool.com/index.php/about-us/,,,,,
Calvary Child Care,Calvary Child Care,35.9698997,-78.8493326,http://calvarychildcare.com,,,,,
Durham Head Start-RTP,Durham Head Start-RTP,35.8944511413574,-78.892333984375,https://durhamprek.org/durham-head-start-rtp/,,,,,
First Chronicles Daycare Center,First Chronicles Daycare Center,35.9803329,-78.8961061,https://childcarecenter.us/provider_detail/first_chronicles_daycare_center_durham_nc,,,,,", "
First Presbyterian Day School,First Presbyterian Day School,35.9939277,-78.8977204,https://www.fpdayschool.org,,,,,
Kids Korner Academy,Kids Korner Academy,36.040283203125,-78.9121170043945,https://childcarecenter.us/provider_detail/kids_korner_academy_durham_nc,,,,,
Kids Korner Academy II,Kids Korner Academy II,35.9851681,-78.9111519,https://www.wonderschool.com/nc/durham/kids-korner-academy-ii-6318,,,,,
Kids Learning Center,Kids Learning Center,35.915074,-78.891677,https://childcarecenter.us/provider_detail/kids_learning_center_durham_nc,,,,,
"Kin, Too","Kin, Too",36.0220376,-78.9186122,https://www.kinchildcare.org,,,,,
Lakewood Ave Children's School,Lakewood Ave Children's School,35.986547,-78.92385,https://lakewoodavenue.com,,,,,
Little People Day Care Center,Little People Day Care Center,36.1266713,-78.8785373,https://childcarecenter.us/provider_detail/little_people_day_care_center_durham_nc,,,,,
Little Wonders Child Care Services,Little Wonders Child Care Services,35.9815138,-78.8269108,https://childcarecenter.us/provider_detail/little-wonders-child-care-services-durham-nc,,,,,
Lyon Park Head Start,Lyon Park Head Start,35.9889505,-78.9195902,https://www.durhamprek.org/lyon-park-head-start/,,,,,
McClammy Kids Academy,McClammy Kids Academy,36.0569806,-78.9200099,https://childcarecenter.us/provider_detail/mcclammy_kids_academy_durham_nc,,,,,
McQueen's Amazing Changes Childcare,McQueen's Amazing Changes Childcare,35.9895668029785,-78.8504180908203,https://childcarecenter.us/provider_detail/mcqueens_amazing_changes_childcare_durham_nc,,,,,
My Neighborhood Playhouse,My Neighborhood Playhouse,35.9355872,-78.8845623,https://www.wonderschool.com/nc/durham/my-neighborhood-playhouse-7468,,,,,
Mount Zion Daycare,Mount Zion Daycare,35.977922,-78.90043,https://childcarecenter.us/provider_detail/mount_zion_day_care_durham_nc,,,,,
Mcdougald Terrace Head Start,Mcdougald Terrace Head Start,35.974665,-78.8908409,https://prek.club/day-care-school/mcdougald-terrace-head-start,,,,,
Oxford Manor Head Start,Oxford Manor Head Start,36.04041,-78.8861985,https://headstartprograms.org/center-186372.html,,,,,
Primrose School of East Chapel Hill,Primrose School of East Chapel Hill,35.9317479,-78.9987964,https://www.primroseschools.com/locations/raleigh-metro/durham,,,,,
