STOP_NAME,STOP_ID,LATITUDE,LONGITUDE,SHARED_ROUTES,SHELTERED,SIDEWALK
Rigsbee Ave at Corporation St (NB),6242,36.001766,-78.899917,4,0,NA
Geer St at Rigsbee Ave,6243,36.00374,-78.89963,4,0,NA
Geer St at Glendale Ave,6244,36.00376,-78.89647,4,0,NA
Geer St at Glendale Ave,6245,36.00384,-78.89649,4,0,NA
Geer St at Rigsbee Ave,6246,36.00382,-78.89951,4,0,NA
Rigsbee Ave at Corporation St (SB),6247,36.002316,-78.900042,4,0,1
Rigsbee Ave at Seminary St,6248,35.99942,-78.89997,4,0,NA
Renaissance Shopping Center,6251,35.904003,-78.937392,5,1,1
Renaissance Pkwy at Renaissance Village,6252,35.902963,-78.953911,"5, 14, 800, 800S",1,1
Highgate Dr at Audubon Lake Dr,6253,35.910733,-78.945155,"5, 14",0,NA
Highgate Dr at Harrier Ct,6254,35.91058,-78.94274,"5, 14",0,NA
Highgate Dr at NC 54,6255,35.9102,-78.94089,"5, 14",0,NA
Fayetteville St at Cook Rd (SB),6256,35.952898,-78.90558,"5, 5K, 7",0,NA
Fayetteville St at Cook Rd (Hillside HS),6257,35.95325,-78.90559,"5, 5K, 7",1,NA
Fayetteville Rd at Tralea Dr (Mt Zion Church),6258,35.955957,-78.907293,"5, 5K, 7",0,NA
Miami Blvd at Stirrup Creek Dr (PBM Graphics),6261,35.920121,-78.848985,"15, RTP OD",0,NA
Miami Blvd at Bethesda Elementary,6263,35.941329,-78.839052,15,0,NA
Holloway St at Rummel St,6264,35.987727,-78.847973,"3B, 3C, 23",1,NA
Holloway St at Lynn Rd,6265,35.9868,-78.84421,3B,0,NA
Miami Blvd at New Haven Dr,6266,35.9363548,-78.842472,15,0,NA
TW Alexander Dr at Miami Blvd (EB),6267,35.923375,-78.84512,"15, RTP OD",1,1
TW Alexander Dr at Center Point (EB),6268,35.921978,-78.83374,"15, RTP OD",0,NA
TW Alexander Dr at Roche Dr (LabCorp),6269,35.9187826,-78.824637,"15, RTP OD",0,NA
TW Alexander Dr at Creekside Townhomes,6270,35.9224038,-78.837375,"15, RTP OD",0,NA
TW Alexander Dr at Miami Blvd (WB),6272,35.9239,-78.845353,"15, RTP OD",0,NA
Miami Blvd at Methodist St,6273,35.9364122,-78.842152,15,0,NA
NC 54 at S Alston Ave (EB),6274,35.9005997,-78.889397,"12, 12B, 14, 800, 805, RTP OD",0,NA
S Alston Ave at Kestrel Heights School (SB),6275,35.89857,-78.88909,"12, 14, RTP OD",0,NA
S Alston Ave at Duke Health (SB),6276,35.887359,-78.885144,"12, 14, RTP OD",0,NA
S Alston Ave at Falls Pointe Apts (SB),6277,35.8842178,-78.885886,"12, 14, RTP OD",0,1
NC 55 at Sedwick Dr (NB),6278,35.89021,-78.89596,"12, 14, RTP OD",0,NA
NC 55 at Golden Corral (NB),6279,35.8971,-78.89687,"12, 14, RTP OD",0,NA
TW Alexander Dr at Stirrup Creek Dr,6281,35.921917,-78.841865,"15, RTP OD",1,1
NC 55 at Allendown Dr (NB),6283,35.89872,-78.89655,"12, 14, RTP OD",0,NA
Chapel Dr at Duke University Rd (Duke News),6286,35.9980674,-78.933441,"6, 6B, DRX, D C2, D C3, D C4, D CCX, D SWX",0,NA
S Alston Ave at Englert Dr,6287,35.8955,-78.88905,"12, 14, RTP OD",0,NA
E Geer St at Fay St,6288,36.004209,-78.875693,"2B, 23",0,NA
E Geer St at Midland Terrace (out),6289,36.01428,-78.86316,3,0,NA
E Geer St at Landon Farms (out),6290,36.01994,-78.84943,3,1,NA
E Geer St at Landon Farms Ln (WB),6293,36.02016,-78.84949,3,1,NA
E Geer St at Midland Terrace (WB),6294,36.01463,-78.86303,3,0,NA
Roxboro Rd at Liberty St,6297,35.994534,-78.89762,"3, 3B, 3C, 9, 9A, 9B",0,NA
Pettigrew St at Mangum St (WB),6299,35.994282,-78.901765,"2A, 2B, 3, 3B, 3C, 8, 9, 9A, 9B",0,NA
Pettigrew St at Roxboro St (EB),6300,35.992053,-78.898873,"2A, 2B",0,NA
E Geer St at Glenview Station,6304,36.02681,-78.84196,3,1,1
E Chapel Hill St at Main St,6305,35.996922,-78.904454,"2, 4",1,1
E Main St at Corcoran St (EB),6306,35.995616,-78.901917,"2, BCC",0,1
E Main St at Mangum St (EB),6307,35.994748,-78.900248,"2, BCC",0,1
E Chapel Hill St at Market St,6308,35.99694,-78.902543,4,1,NA
Dillard St at E Main St (Urban Ministries),6309,35.9928523,-78.895217,"3, 3B, 3C",1,1
US 70 at Laurel Dr,6310,35.95604,-78.84148,"2, 2A",0,NA
