,Unnamed: 0,name,CENTER_NAME,LATITUDE,LONGITUDE,school_zones
109,109,Lakewood Ave Children's School,Lakewood Ave Children's School,35.986547,-78.92385,"CEJordan,Lakewood,Ten Schools"
110,110,Little People Day Care Center,Little People Day Care Center,36.1266713,-78.8785373,Ten Schools
111,111,Little Wonders Child Care Services,Little Wonders Child Care Services,35.9815138,-78.8269108,Ten Schools
112,112,Lyon Park Head Start,Lyon Park Head Start,35.9889505,-78.9195902,"CC Spaulding,CEJordan,Ten Schools"
113,113,McClammy Kids Academy,McClammy Kids Academy,36.0569806,-78.9200099,Ten Schools
114,114,McQueen's Amazing Changes Childcare,McQueen's Amazing Changes Childcare,35.9895668029785,-78.8504180908203,Ten Schools
115,115,Mi Neighborhood Playhouse Too,Mi Neighborhood Playhouse Too,35.9355872,-78.8845623,"Hillside,Ten Schools"
116,116,Mount Zion Daycare,Mount Zion Daycare,35.977922,-78.90043,"CEJordan,Ten Schools"
117,117,Ncdougald Terrace Head Start,Ncdougald Terrace Head Start,35.974665,-78.8908409,"Hillside,Ten Schools"
118,118,Oxford Manor Head Start,Oxford Manor Head Start,36.04041,-78.8861985,Ten Schools
119,119,Primrose School of East Chapel Hill,Primrose School of East Chapel Hill,35.9317479,-78.9987964,"CEJordan,Ten Schools"
120,120,RN Harris SAC Club,RN Harris SAC Club,35.9703461,-78.8838058,"Hillside,Ten Schools"
121,121,The Learning Circle,The Learning Circle,35.9549594,-78.9079413,"Fayetteville St,Hillside,Ten Schools"
122,122,The Learning Experience,The Learning Experience,35.895892,-78.897172,"Hillside,Parkwood,Ten Schools"
123,123,The Woodcroft School,The Woodcroft School,35.922586,-78.956272,"CEJordan,Southwest,Ten Schools"
124,124,Triangle Day Care,Triangle Day Care,35.9520213,-78.899252,"Fayetteville St,Hillside,Ten Schools"
125,125,Victorious Daycare and Preschool Academy,Victorious Daycare and Preschool Academy,35.9296281,-78.8154222,"Hillside,Ten Schools"
